Factory,FGSKUCode,ASSEMB_ITEM_DESC,ASSEMB_UOM,COMP_ITEM_CODE,COMP_DESC,COMP_UOM,COMP_QTY,Packing flag,retain_flag_BOM,BOM_version
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2013103014.0,WOOD SMOKING CHIPS ALDERWOOD,KGM,0.0274,1.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2013104212.0,ESSY PEEL 26MM,EA,1.2727,1.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2013104501.0,WOOD SMOKING CHIPS BEECHWOOD,KGM,0.0657,1.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2013105015.0,WHITE BAGS 60*70,EA,0.18182,1.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2013114220.0,EXPORT HOT DOG TOP FILM,MTR,2.6875,1.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2013116004.0,BAG NYLON 13.5*25 - PROMOTION,EA,0.09091,1.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2013117015.0,SELOTAPE BIG,EA,0.0455,1.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2013117043.0,BOTTOM FILM NAPCO 150 MICRON,MTR,2.7295,1.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2013117051.0,YELLOW SHEETS FOR TGI,EA,0.18182,1.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2013118037.0,OLIVE GREEN LABEL BARCODE FROZ,EA,1.0909,1.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2013119006.0,CARTON HOT DOG EXPORT,EA,1.0,1.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,2011104265.0,BOTTOM FILM 350MX46CX150M ROLL,MTR,1.4,1.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,2011104266.0,44*600*90 MICRO MILKY TOP FILM,MTR,1.4,1.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,2011104303.0,MEDIUM CARTON AMERICANA,EA,1.015,1.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,2011104429.0,TAPE,EA,0.002,1.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,2011104598.0,DOMINO IK-901BKS-1 - INK,EA,3e-05,1.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,2011114087.0,ANGUS HOTDOG PREMIUM PACKET,EA,20.5,1.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1001101002.0,BRAZILIAN BEEF FOREQUARTER,KGM,1.931011718105298,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1001101007.0,BRAZILIAN BEEF TRIMMING,KGM,2.848242284205314,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1001101139.0,ANGUS TRIMMINGS,KGM,1.689635253342135,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1005102205.0,MUSTARD,KGM,0.0168963525334213,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102005.0,LUNCHEON CURE NO COLOR SS-381,KGM,0.1810323485723716,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102008.0,Soya Protein TVP,KGM,0.0868955273147384,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102011.0,WHITE PEPPER,KGM,0.0036206469714474,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102015.0,PHOSPHATE,KGM,0.0086895527314738,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102020.0,GARLIC POWDER,KGM,0.0024137646476316,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102030.0,NAT FOOD BREADCRUMB 3969 - 220,KGM,0.3379270506684271,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102036.0,SUGAR,KGM,0.0289651757715794,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102055.0,FRANKFURTER FLAVOR,KGM,0.0072412939428948,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102110.0,SOYA PROTEIN CONCENTRATE,KGM,0.1689635253342135,0.0,1,BOM-1
